,nameRest,latitudeRest,longitudeRest,rating,code
97,El Patron,33.64109,-86.622915,4.0,AL
98,Don Pepe,33.410858645704,-86.666613146639,4.0,AL
99,El Vecino Mexican Restaurant,33.5652809,-86.8969879,4.5,AL
100,Taqueria El Palenque,34.7595502051828,-92.3795964367079,4.5,AR
101,La Tapatia Taqueria & Birria,34.6710973360345,-92.41872190941,4.5,AR
102,Heights Taco & Tamale,34.77,-92.33853,4.0,AR
103,Local Lime,34.7679618728401,-92.4594895436554,4.0,AR
104,Taqueria Azteca Original Mexican Food,34.8322148778408,-92.3924090713263,5.0,AR
105,Wicked Taco Factory,34.74707,-92.27268,4.5,AR
106,Taqueria Catrina,34.88645,-92.37478,4.5,AR
107,El Torito,34.75174,-92.40652,4.5,AR
108,La Hacienda Mexican Restaurant,34.7608,-92.3091199,4.0,AR
109,The Fold: Botanas & Bar,34.764843,-92.311427,4.0,AR
110,Taqueria Gonzalez,35.066567332283,-92.4209497304289,4.5,AR
111,Cotija's Mexican Grill,34.7451471537352,-92.2721897810698,4.5,AR
112,Three Amigos Restaurante,34.774242401123,-92.3608932495117,3.5,AR
113,Cantina Laredo,34.7531236433635,-92.3398067333551,3.5,AR
114,Taqueria Guadalajara,34.791344,-92.275699,4.0,AR
115,Cantina Cinco De Mayo,34.7696176290017,-92.4557370423695,4.0,AR
116,La Casa Real,34.7891562023,-92.26028714329,4.5,AR
117,Santo Coyote Mexican Food Tequila Bar,34.79662,-92.23583,4.0,AR
118,Diablos,34.748079,-92.2676042592593,3.0,AR
119,Del Campo A La Cuidad,34.6907043457031,-92.3479232788086,4.5,AR
120,La Pasadita Mexican Restaurant,34.77064,-92.39735,4.5,AR
121,Mi Casita Texmex Restaurant,34.4408493041992,-92.1934967041016,4.5,AR
122,Mockingbird Bar & Tacos,34.7366251520099,-92.272625043386,4.0,AR
123,Buenos Aires Grill & Cafe,34.7474599,-92.2636,4.5,AR
124,Señor Tequila,34.7452996532038,-92.4068078545223,4.0,AR
125,La casa de mi abuelita Mawmaw's House,34.439726,-92.193638,5.0,AR
126,Baja Grill,34.770058,-92.340395,4.0,AR
127,Extreme Tacos and tamales ,34.53522,-92.407175,5.0,AR
128,Chepe’s Mexican Grill,34.57962,-92.58226,4.0,AR
129,El Porton Mexican Restaurant,34.7523755,-92.4090405,3.5,AR
130,Riviera Maya Mexican Restaurant,34.7444,-92.33395,3.5,AR
131,Tortas Mexico,34.78944,-92.27708,4.5,AR
132,Mi Ranchito,34.9808579358269,-92.0700123767791,3.5,AR
133,Chuy's,34.80083,-92.21613,4.0,AR
134,El Mezcal,34.75737,-92.32385,3.0,AR
135,Chuy's,34.7572521234838,-92.446276218304,3.5,AR
136,La Frontera Mexican Grill,34.669663,-92.332657,4.5,AR
137,Taqueria Amigo Mexican Restaurant,34.8663941626817,-92.1305165645417,4.5,AR
138,El Alamo Mexican Grill,34.6730300392371,-92.3446623980999,5.0,AR
139,Rosalinda,34.7875951,-92.2758938,4.5,AR
140,Rock City Taco & Margarita Bar,34.74545341992587,-92.2663749,2.5,AR
141,Tacos 4 Life,34.7299,-92.395584,4.0,AR
142,Las Palmas Mexican Restaurant,34.7892749,-92.2218809,4.0,AR
143,Mexico Chiquito,34.7543,-92.40043,2.5,AR
144,El Canaveral,34.9545023945244,-92.0086151749791,3.0,AR
145,El Sur Street Food,34.7379951477051,-92.2633056640625,5.0,AR
146,Taco Mexicano,34.81797,-92.32892,5.0,AR
147,Casa Mexicana,34.828772,-92.391209,3.0,AR
148,Nopal,34.544626,-91.95665183,2.0,AR
149,La culpable Taqueria,34.64198,-92.44004,4.5,AR
150,Cocina Madrigal,33.4087985461415,-112.047297751521,5.0,AZ
151,Presidio Cocina Mexicana,33.4801951,-112.0813133,4.5,AZ
152,Barrio Café,33.47903,-112.04789,4.0,AZ
153,Centrico,33.4504069086437,-112.073926125802,4.5,AZ
154,La Santisima Gourmet Taco Shop,33.49554,-112.04717,4.0,AZ
155,Los Reyes De La Torta,33.5708244,-112.0656524,4.5,AZ
156,Chico Malo,33.4478910339496,-112.073899284687,4.0,AZ
157,Blanco Cocina Cantina - Phoenix,33.448107,-112.071378,4.5,AZ
158,Maria's Frybread & Mexican Food,33.4797876514924,-111.994970217347,4.5,AZ
159,Diego Pops,33.499382019043,-111.926490783691,4.0,AZ
160,Mariscos Playa Hermosa,33.457642351835446,-112.0472939,4.5,AZ
161,PHX Burrito House,33.4963856006833,-112.083983185613,4.5,AZ
162,The Mission,33.492287,-111.924273,4.0,AZ
163,Fuego at The Clarendon,33.491105,-112.0795409,4.5,AZ
164,Just Tacos and More,33.48109349,-112.0132813,5.0,AZ
165,Ladera Taverna y Cocina,33.5638465881348,-112.073532104492,4.5,AZ
166,Comedor Guadalajara,33.429424,-112.073929,4.0,AZ
167,Mi Pueblo Mexican Food,33.655902,-112.064206,4.5,AZ
168,Joyride Taco House,33.51315,-112.07414,4.0,AZ
169,Kiss Pollos Estilo Sinaloa,33.4361690200919,-112.077588255791,5.0,AZ
170,Taco Guild,33.487639,-112.065664676935,4.0,AZ
171,Casa Corazon Restaurant,33.47692,-112.04703,4.5,AZ
172,Taco Chelo,33.4585151,-112.067262,4.0,AZ
173,Mi Patio Mexican Food,33.4874748,-112.0830342,4.0,AZ
174,Irma's Kitchen,33.45889,-112.094055,4.5,AZ
175,Mi Lindo Michoacan The Mexican Corral,33.49593,-112.22133,5.0,AZ
176,Birrieria Tijuana,33.62741728658402,-112.01234725527881,4.5,AZ
177,Barrio Queen,33.677070116240074,-111.97486994090313,4.0,AZ
178,SOL Mexican Cocina,33.625514,-111.924236,4.0,AZ
179,Maskadores Taco Shop,33.407829,-111.950966,4.5,AZ
180,Toca Madera Scottsdale,33.5049772,-111.931125,4.0,AZ
181,The Original Carolina's Mexican Food,33.431499,-112.056034,4.0,AZ
182,Cien Agaves Tacos & Tequila - Old Town Scottsdale,33.494217,-111.925339,4.0,AZ
183,Tacos Chiwas,33.494937,-112.059423,4.5,AZ
184,M'Olé,33.44984,-112.07471,4.5,AZ
185,Los Taquitos,33.34808078511072,-111.98238902581164,4.0,AZ
186,Chantico,33.50898436,-112.05865716,4.0,AZ
187,Rito's Mexican Food- Phoenix,33.4579361,-112.0520629,4.5,AZ
188,Testal,33.457261,-112.090136,5.0,AZ
189,Los Dos Molinos,33.3671700568237,-112.073720529044,3.5,AZ
190,Rita's Mexican Food,33.4643519,-112.1348719,4.0,AZ
191,Dick's Hideaway,33.5241701058918,-112.047840593918,4.5,AZ
192,Dos Gordos,33.378917,-112.13542817,4.5,AZ
193,Asadero Norte De Sonora,33.4501599,-112.04793,4.5,AZ
194,Sr Ozzy's Tacos Y Mariscos,33.391779824196,-112.095735407612,4.5,AZ
195,Naughty Tacos,33.46602,-111.98937,4.5,AZ
196,CRUjiente Tacos,33.508978,-111.995762,4.5,AZ
197,The Arrogant Butcher,33.4473917315183,-112.072831046558,4.0,AZ
198,El Norteño,33.45883,-112.08289,4.0,AZ
199,Sofrita,33.6040137,-111.7166851,4.0,AZ
200,Casa Velasco Mexican Restaurant,37.32073,-119.5586,4.5,CA
201,Plazuelas Mexican Restaurant & Taqueria,37.331555,-119.6563089,4.0,CA
202,El Cid Mexican Cuisine,37.358658,-119.644107,3.5,CA
203,La Cabana,37.2229944,-119.5099837,4.0,CA
204,Nayos mecican restaurant,37.483492,-119.963207,4.5,CA
205,El Charro Taqueria,37.639331,-118.967477,4.5,CA
206,Don Fernando's,37.03788451675827,-119.51335524110443,4.5,CA
207,Roberto's Cafe,37.6419677734375,-118.965881347656,4.0,CA
208,Latin Market Taqueria,37.64541326089798,-118.96744861626956,4.5,CA
209,Dulce Sabor,37.3417723034878,-119.642441309989,4.5,CA
210,Salsa's Taqueria,37.637538,-118.966934,4.0,CA
211,Velasco's Mexican Restaurant,37.037918,-119.516326,4.0,CA
212,Puerto Vallarta,37.64748,-118.97119460006164,4.0,CA
213,The Loco Frijole,37.6485033247253,-118.977794873757,3.5,CA
214,Mariscos Colima,37.33291,-119.65257,3.5,CA
215,Alfonso's Hideaway Mexican Restaurant,37.2628471,-119.6971433,3.5,CA
216,Don Rubens Restaurant,37.489,-119.97009,3.5,CA
217,Castillo's,37.4844099,-119.96424,3.5,CA
218,Gomez's Mexican Restaurant & Cantina,37.6505508422852,-118.985801696777,3.0,CA
219,Picayune Rancheria Indian tacos,37.214007,-119.685251,5.0,CA
220,Casa de Fuego,37.211431,-119.699178,3.5,CA
221,Tacos Sonora,37.4890280744738,-119.971674058861,4.0,CA
222,Shaver Lake Gas & Deli,37.1070881853525,-119.318737974761,3.0,CA
223,Oakhurst Grill and Whiskey 41 Lounge,37.3360280886114,-119.646133705974,4.0,CA
224,Ducey's on the Lake,37.3189103,-119.5570908,3.5,CA
225,Wild Fig Kitchen,37.2622980132899,-119.700374975394,4.5,CA
226,Cocula’s Taqueria,36.631222,-119.678436,4.5,CA
227,La Estrella,36.7257537841797,-120.059997558594,4.5,CA
228,Carrillo's Mexican Food,36.8234714433902,-119.712107665837,4.5,CA
229,Las Cabanas Taqueria,36.7069349,-119.5750633,4.5,CA
230,La Haciendita,36.6910860610546,-119.555002092388,3.5,CA
231,The Oasis,37.4328956604004,-120.098487854004,4.5,CA
232,Taqueria Maranatha,36.9551,-120.05475,4.0,CA
233,Cecilia's Restaurant,36.7347951,-120.0612995,4.0,CA
234,Halaly Tacos,36.83133,-119.78978,4.0,CA
235,Sal's Tacos and Catering,37.48412,-119.96467,4.5,CA
236,Ohanas395,37.77787,-119.07577,4.5,CA
237,Taqueria Morales,36.709408,-119.556091,3.5,CA
238,Cabanas Restaurant,36.6247765722778,-119.31804798971,4.0,CA
239,Hideout Saloon,37.4848079,-119.9654933,4.5,CA
240,Monterrey Tortilleria,36.62482,-119.3088,3.0,CA
241,Silver Lake Resort Cafe,37.7813702,-119.1296283,4.5,CA
242,La Mexicana Taco Truck,36.73422,-119.50257,4.5,CA
243,Hacienda Tequila,36.81374,-119.700853,4.0,CA
244,Mi Linda Tierra Market,36.703399,-119.550605,5.0,CA
245,Taqueria Don Pepe,36.8008235,-119.789907053966,4.5,CA
246,Bob's Blue Sky Cafe,37.106465,-119.318577,3.5,CA
247,Denny's,37.3375936699586,-119.645203649998,2.0,CA
248,Mi Ranchito Tacos y Mariscos,36.70355,-119.55592,4.0,CA
249,The Warming Hut,37.6411,-118.96619,4.5,CA
250,La Loma | Denver,39.74493,-104.98781,4.0,CO
251,Los Chingones Denver,39.7574379,-104.9868016,4.0,CO
252,Las Margs,39.74051,-104.97249,4.0,CO
253,Mister Oso,39.76424,-104.97848,4.5,CO
254,El Gordo Taqueria,39.827,-105.00728,5.0,CO
255,La Calle Taqueria Y Carnitas,39.7114611,-105.0102102,4.5,CO
256,Pupusas Y Tacos Los Reyes,39.654075,-104.870029,4.5,CO
257,La Diabla Pozole Y Mezcal,39.75548,-104.9898,4.5,CO
258,Taqueria La Familia,39.761887,-105.020065,4.5,CO
259,SOL Mexican Cocina,39.71978,-104.95672,4.0,CO
